Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Club Crest Chelsea,18,13,5,0,44,13,31,44,2.44,"1,884",Fran Kirby - 8,Hedvig Lindahl,→ Champions League via league finish
2,Club Crest Manchester City,18,12,2,4,51,17,34,38,2.11,"3,818",Nikita Parris - 11,Ellie Roebuck,→ Champions League via league finish
3,Club Crest Arsenal,18,11,4,3,38,18,20,37,2.06,586,Beth Mead - 8,Sari van Veenendaal,
4,Club Crest Reading,18,9,5,4,40,18,22,32,1.78,647,Remi Allen - 9,Mary Earps,
5,Club Crest Birmingham City,18,9,3,6,30,18,12,30,1.67,741,Ellen White - 15,Ann-Katrin Berger,
6,Club Crest Liverpool,18,9,1,8,30,27,3,28,1.56,634,Bethany England - 10,Siobhan Chamberlain,
7,Club Crest Sunderland,18,5,1,12,15,40,-25,16,0.89,363,"Keira Ramshaw, Lucy Staniforth... - 3",Rachael Laws,Relegated 1
8,Club Crest Bristol City,18,5,1,12,13,47,-34,16,0.89,609,Lauren Hemp - 7,Sophie Baggaley,
9,Club Crest Everton,18,4,2,12,19,30,-11,14,0.78,402,Danielle Turner - 5,Lizzie Durack,
10,Club Crest Yeovil Town,18,0,2,16,2,54,-52,2,0.11,483,"Hannah Miles, Ann-Marie Heatherson - 1",Megan Walsh,Retained 2